n,k,rate,ell,nu,binary_rows,target_rank,instance,source,rank_matrix,rank_augmented,matrix_deficiency,K_rank_gain,K_gain_deficiency,deficiency
30,10,0.3333333333333333,1,43,860,900,72,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,73,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,74,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,75,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,76,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,77,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,78,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,79,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,80,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,81,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,82,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,83,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,84,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,85,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,86,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,87,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,88,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,89,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,90,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,91,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,92,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,93,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,94,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,95,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,96,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,97,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,98,pkp_derived,860,900,0,40,0,0
30,10,0.3333333333333333,1,43,860,900,99,pkp_derived,860,900,0,40,0,0
36,12,0.3333333333333333,1,52,1248,1296,0,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,1,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,2,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,3,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,4,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,5,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,6,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,7,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,8,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,9,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,10,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,11,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,12,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,13,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,14,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,15,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,16,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,17,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,18,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,19,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,20,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,21,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,22,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,23,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,24,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,25,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,26,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,27,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,28,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,29,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,30,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,31,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,32,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,33,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,34,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,35,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,36,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,37,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,38,pkp_derived,1248,1296,0,48,0,0
36,12,0.3333333333333333,1,52,1248,1296,39,pkp_derived,1248,1296,0,48,0,0
