n,k,rate,ell,nu,binary_rows,target_rank,instance,source,rank_matrix,rank_augmented,matrix_deficiency,K_rank_gain,K_gain_deficiency,deficiency
20,10,0.5,1,37,370,400,81,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,82,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,83,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,84,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,85,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,86,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,87,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,88,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,89,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,90,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,91,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,92,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,93,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,94,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,95,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,96,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,97,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,98,pkp_derived,370,400,0,30,0,0
20,10,0.5,1,37,370,400,99,pkp_derived,370,400,0,30,0,0
24,12,0.5,1,45,540,576,0,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,1,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,2,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,3,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,4,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,5,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,6,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,7,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,8,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,9,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,10,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,11,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,12,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,13,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,14,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,15,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,16,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,17,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,18,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,19,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,20,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,21,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,22,pkp_derived,540,576,0,36,0,0
24,12,0.5,1,45,540,576,23,pkp_derived,540,576,0,36,0,0
